iter	Passed	Remaining
0	2	204
1	4	217
2	6	201
3	7	185
4	9	183
5	11	179
6	13	177
7	15	173
8	16	170
9	18	165
10	20	164
11	22	164
12	24	162
13	26	160
14	27	157
15	29	157
16	31	155
17	33	153
18	35	152
19	37	150
20	39	148
21	41	146
22	43	144
23	44	142
24	47	141
25	48	139
26	51	138
27	53	137
28	55	135
29	57	134
30	59	132
31	61	130
32	62	127
33	64	125
34	66	124
35	68	122
36	70	120
37	72	118
38	74	116
39	76	114
40	78	112
41	78	108
42	80	106
43	82	104
44	83	102
45	85	100
46	87	98
47	88	95
48	90	94
49	92	92
50	93	90
51	95	88
52	97	86
53	99	84
54	100	82
55	102	80
56	104	78
57	106	76
58	107	74
59	109	73
60	111	71
61	113	69
62	115	67
63	116	65
64	119	64
65	120	62
66	122	60
67	124	58
68	126	56
69	128	54
70	130	53
71	132	51
72	133	49
73	135	47
74	137	45
75	139	43
76	141	42
77	142	40
78	144	38
79	145	36
80	147	34
81	149	32
82	150	30
83	152	29
84	154	27
85	156	25
86	158	23
87	160	21
88	162	20
89	163	18
90	165	16
91	167	14
92	169	12
93	170	10
94	172	9
95	174	7
96	176	5
97	178	3
98	180	1
99	181	0
